Order_ID,Order_Date,Customer_ID,Product,Category,Region,City,Quantity,Unit_Price,Sales,Discount_Percent,Cost_Per_Unit,Delivery_Cost,Return_Status,Payment_Method,Payment_Status,Order_Status
ORD105570,2026-05-31,CUST1615,Smartwatch,Electronics,North,Delhi,2,6876.69,13753.38,10.0,5193.53,413.33,No,Debit Card,Paid,Cancelled
 ORD101625 ,2026-06-12,CUST1308,Smartwatch,Electronics,East,Kolkata,4,7459.26,29837.04,25.0,4837.01,323.02,No,Cash,Failed,Delivered
ORD100561,2026-05-11,CUST1655,Backpack,Accessories,South,Hyderabad,2,1664.08,3328.16,10.0,1208.11,498.16,No,Credit Card,Paid,Delivered
ORD102649,2026-07-31,CUST1005,Jacket,Fashion,North,,4,4327.98,17311.92,10.0,3797.68,266.41,No,Debit Card,Failed,Cancelled
ORD102519,2025-07-31,CUST1035,Smartphone,Electronics,East,Patna,1,29954.36,29954.36,20.0,22587.7,214.93,No,Credit Card,Paid,Delivered
ORD100764,2025-12-02,CUST1068,T-Shirt,Fashion,North,Jaipur,1,793.49,793.49,15.0,609.43,477.28,No,Net Banking,Pending,Delivered
ORD104882,2025-10-19,CUST1477,Headphones,Electronics,East,Patna,4,3436.13,13744.52,30.0,2610.96,463.26,No,UPI,Paid,Cancelled
ORD104931,2026-04-27,CUST1623,Desk,Furniture,East,Bhubaneswar,2,12405.34,24810.68,10.0,"8,468.70",171.77,Yes,UPI,Failed,Returned
ORD100209,2026-04-10,CUST1286,T-Shirt,Fashion,west,Delhi,2,936.47,1872.94,15.0,549.85,363.7,No,UPI,Pending,Cancelled
ORD103518,2025-07-18,CUST1375,Smartwatch,Electronics,East,Bhubaneswar,2,6499.71,12999.42,30.0,5173.52,199.43,No,Net Banking,Paid,Cancelled
ORD103036,2025-10-21,CUST1611,laptop,Fashion,North,Lucknow,2,1016.52,2033.04,30.0,765.86,214.42,No,UPI,Paid,Delivered
ORD104743,2026-01-04,CUST1667,Backpack,Accessories,West,Ahmedabad,1,1722.75,1722.75,15.0,1188.46,402.84,No,Net Banking,Paid,Delivered
ORD101113,2025-02-27,CUST1542,Coffee Maker,Home Appliances,Central,Bhopal,2,5154.29,10308.58,5.0,3246.88,151.94,No,Credit Card,Paid,Delivered
ORD103896,2025-08-09,CUST1682,Jacket,Fashion,West,Pune,2,4851.97,9703.94,5.0,3470.05,399.49,No,Credit Card,Paid,Delivered
ORD102995,2026-01-10,CUST1531,Mixer,Home Appliances,Central,Nagpur,2,4287.3,8574.6,10.0,2902.6,N/A,No,Credit Card,Paid,Delivered
ORD102434,2025-12-20,CUST1388,Laptop,Electronics,South,Chennai,3,53291.72,159875.16,5.0,45255.76,453.25,No,Debit Card,Failed,Delivered
ORD104409,2026-05-25,CUST1431,Coffee Maker,Home Appliances,South,Chennai,4,5990.68,23962.72,30.0,5087.26,240.38,No,,Failed,Delivered
ORD105437,2025-04-16,CUST1498,Coffee Maker,Home Appliances,Central,Bhopal,1,5659.18,5659.18,30.0,4054.07,381.7,No,Debit Card,Paid,Delivered
ORD100016,2026-07-05,CUST1338,Jacket,Fashion,West,Mumbai,1,4785.05,4785.05,30.0,2989.43,336.78,Yes,Debit Card,Pending,Returned
ORD104997,2025-07-23,CUST1457,Blender,Home Appliances,South,Chennai,1,3260.71,3260.71,5.0,2341.37,291.91,No,Credit Card,Paid,Delivered
ORD105665,2026-04-23,CUST1066,Smartwatch,Electronics,South,Bengaluru,1,7047.95,7047.95,15.0,5153.3,413.51,No,UPI,Paid,Delivered
ORD103669,2025-11-24,CUST1349,Microwave,Home Appliances,South,Chennai,2,10513.61,21027.22,15.0,6015.05,68.82,No,Debit Card,Paid,Delivered
ORD105962,2025-04-28,CUST1187,Mixer,Home Appliances,West,Mumbai,2,4559.78,9119.56,15.0,3454.94,185.18,No,Credit Card,Paid,Delivered
ORD100301,2026-07-02,CUST1622,Tablet,Electronics,Central,Bhopal,4,19205.8,76823.2,0.0,15811.72,139.39,No,UPI,Paid,Delivered
ORD100361,2025-05-26,CUST1388,Desk,Furniture,North,Delhi,1,10317.57,10317.57,20.0,6736.29,154.9,No,UPI,Failed,Delivered
ORD105281,2026-04-07,CUST1359,T-Shirt,Fashion,West,Pune,2,862.41,1724.82,10.0,717.47,180.79,No,UPI,Failed,Delivered
ORD105947,2025-05-06,CUST1608,Backpack,Accessories,Central,Bhopal,3,1572.29,4716.87,20.0,899.88,331.62,No,Cash,Paid,Cancelled
ORD103607,2025-10-04,CUST1739,Coffee Maker,Home Appliances,North,Delhi,2,6167.62,12335.24,5.0,4397.85,492.79,No,Debit Card,Paid,Delivered
ORD102343,2026-06-07,CUST1629,Office Chair,Furniture,West,Mumbai,3,8592.41,25777.23,5.0,5342.53,493.52,No,Cash,Paid,Delivered
ORD101261,2026-02-05,CUST1050,Smartphone,Electronics,South,Hyderabad,4,26575.0,106300.0,25.0,19472.1,471.49,,UPI,Paid,Delivered
ORD102959,2025-11-07,CUST1062,Shoes,Fashion,East,Patna,4,2803.25,11213.0,0.0,1753.36,459.53,No,Credit Card,Pending,Delivered
ORD103599,2026-04-01,CUST1651,Shoes,Fashion,East,Kolkata,2,3637.9,7275.8,0.0,2351.45,247.4,No,UPI,Paid,Delivered
ORD104034,2026-07-13,CUST1408,T-Shirt,Fashion,West,Mumbai,1,1033.1,1033.1,20.0,641.04,146.15,No,UPI,Paid,Delivered
ORD105756,2025-09-24,CUST1491,Coffee Maker,Home Appliances,North,Jaipur,1,5384.44,5384.44,10.0,3529.36,413.48,No,Cash,Paid,Delivered
ORD100974,2025-04-30,CUST1743,Backpack,Accessories,East,Patna,2,1954.54,3909.08,5.0,1571.26,112.09,No,UPI,Paid,Delivered
ORD101633,2025-11-05,CUST1278,Laptop,Electronics,West,Mumbai,1,52105.31,52105.31,5.0,30629.43,424.37,No,Credit Card,Pending,Delivered
ORD104692,2025-09-29,CUST1636,T-Shirt,Fashion,West,Pune,2,826.2,1652.4,0.0,551.14,214.44,No,Net Banking,Pending,Delivered
ORD105897,2025-11-30,CUST1596,Desk,Furniture,South,Bengaluru,2,13110.01,26220.02,5.0,11190.19,226.37,No,UPI,Paid,Delivered
ORD101370,2025-07-29,CUST1396,Office Chair,Furniture,North,Lucknow,5,9597.99,47989.95,5.0,7681.79,316.66,No,UPI,Paid,Cancelled
ORD104061,2025-05-15,CUST1038,Blender,Home Appliances,West,Mumbai,1,3066.45,3066.45,25.0,2264.59,145.54,No,Credit Card,Paid,Cancelled
ORD100524,2026-07-19,CUST1224,Mixer,Home Appliances,East,Bhubaneswar,1,3894.42,3894.42,5.0,3297.82,101.43,No,Debit Card,Paid,Cancelled
ORD105616,2025-12-18,CUST1046,Mixer,Home Appliances,Central,Bhopal,3,4728.86,14186.58,30.0,3500.98,218.03,No,Debit Card,Paid,Cancelled
ORD104696,2026-06-05,CUST1619,T-Shirt,Fashion,West,Ahmedabad,1,793.06,793.06,15.0,607.0,210.56,No,Net Banking,Failed,Delivered
ORD101872,2026-02-24,CUST1786,Blender,Home Appliances,North,Delhi,1,3222.9,3222.9,10.0,2731.28,61.73,No,UPI,Pending,Delivered
ORD101787,2026-07-10,CUST1773,Bookshelf,Furniture,South,Hyderabad,4,7276.63,29106.52,,5948.11,359.31,No,UPI,Paid,Delivered
ORD104351,04/04/2025,CUST1189,Microwave,Home Appliances,North,Delhi,3,10068.45,30205.35,5.0,6013.49,376.78,No,Net Banking,Pending,Delivered
ORD103887,2025-05-13,CUST1505,Office Chair,Furniture,East,Kolkata,5,8815.32,44076.6,15.0,6646.49,402.76,No,UPI,Failed,Cancelled
ORD100433,2026-06-03,CUST1542,Headphones,Electronics,North,Lucknow,2,3809.81,7619.62,15.0,3223.13,429.22,No,UPI,Paid,Delivered
ORD100736,2025-03-11,CUST1454,Mixer,Home Appliances,Central,Indore,1,4063.88,4063.88,20.0,2529.26,237.29,No,UPI,Pending,Cancelled
ORD103610,2025-01-14,CUST1435,Coffee Maker,Home Appliances,west,Jaipur,1,5731.74,5731.74,0.0,4373.39,365.07,No,Debit Card,Paid,Delivered
ORD104509,2025-04-24,CUST1326,Blender,Home Appliances,Central,Indore,5,2945.43,14727.15,15.0,1711.12,199.09,No,Cash,Pending,Cancelled
ORD102580,2025-01-27,CUST1495,Office Chair,Furniture,North,Lucknow,2,9609.24,19218.48,25.0,8122.94,444.7,No,UPI,Paid,Cancelled
ORD103123,2026-01-21,CUST1745,Smartwatch,Electronics,West,Mumbai,5,6527.09,32635.45,15.0,5600.35,479.34,Yes,Credit Card,Paid,Returned
ORD102705,2026-03-21,CUST1296,Microwave,Home Appliances,West,Pune,3,9556.24,28668.72,5.0,6566.5,335.92,No,UPI,Paid,Delivered
ORD104487,2026-06-30,CUST1723,Jacket,Fashion,West,Pune,2,5032.24,10064.48,,4127.0,56.58,No,Cash,Paid,Delivered
ORD103637,2025-01-31,CUST1452,Laptop,Electronics,North,Delhi,5,54003.0,270015.0,10.0,31369.48,167.11,No,Net Banking,Failed,Delivered
ORD103946,2026-04-03,CUST1723,Shoes,Fashion,South,Chennai,5,3214.46,16072.3,15.0,2226.47,475.89,No,UPI,Failed,Delivered
ORD102677,2025-06-30,CUST1543,Headphones,Electronics,Central,Indore,3,3614.06,10842.18,5.0,2850.66,54.37,Yes,Credit Card,Pending,Returned
ORD102113,2026-01-17,CUST1504,Backpack,Accessories,Central,Indore,1,1973.18,1973.18,30.0,1410.61,181.11,No,UPI,Paid,Cancelled
ORD100402,2025-10-18,CUST1520,Smartwatch,Electronics,North,Delhi,2,6388.54,12777.08,5.0,3966.79,59.3,No,Debit Card,Pending,Delivered
ORD100106,2025-02-07,CUST1328,T-Shirt,Fashion,South,Hyderabad,1,853.84,853.84,0.0,624.83,80.01,No,Net Banking,Paid,Delivered
ORD101091,2025-01-16,CUST1111,Mixer,Home Appliances,North,Delhi,2,4669.72,9339.44,15.0,2977.94,109.5,No,Debit Card,Paid,Delivered
ORD104532,2026-06-03,CUST1001,Office Chair,Furniture,North,Jaipur,1,8289.54,8289.54,30.0,5036.39,86.67, YES ,Cash,Paid,Delivered
ORD100770,2026-07-14,CUST1800,Bookshelf,Furniture,East,Patna,4,6238.54,24954.16,10.0,4531.01,418.95,Yes,Cash,Paid,Returned
ORD101419,2025-06-25,CUST1740,Backpack,Accessories,North,Jaipur,3,1998.42,5995.26,15.0,1177.71,152.67,Yes,Debit Card,Paid,Returned
ORD103843,2025-04-13,CUST1411,Bookshelf,Furniture,North,Lucknow,1,6697.15,6697.15,10.0,4077.27,98.28,Yes,Net Banking,Pending,Returned
ORD104920,2026-01-19,CUST1408,Smartwatch,Electronics,West,Ahmedabad,5,7743.41,38717.05,30.0,4408.15,490.89,No,Net Banking,Failed,Delivered
ORD100748,2025-12-17,CUST1416,Laptop,Electronics,west,Jaipur,2,54121.7,108243.4,20.0,31798.74,229.04,No,Cash,Paid,Cancelled
ORD101311,2026-02-22,CUST1625,Tablet,Electronics,West,Ahmedabad,1,23560.86,23560.86,20.0,20221.54,137.99,Yes,Credit Card,Failed,Returned
ORD102648,2026-05-13,CUST1328,Smartwatch,Electronics,East,Bhubaneswar,3,6817.0,20451.0,5.0,4218.55,435.31,Yes,Debit Card,Paid,Returned
ORD102443,2026-05-23,CUST1681,Headphones,Electronics,South,Bengaluru,5,3316.21,16581.05,0.0,2909.14,141.65,No,Net Banking,Pending,Delivered
ORD105148,2025-07-27,CUST1295,Bookshelf,Furniture,North,Delhi,1,6698.66,6698.66,0.0,4089.3,163.16,No,Debit Card,Pending,Delivered
ORD101583,2026-03-08,CUST1069,Backpack,Accessories,East,Bhubaneswar,4,1580.54,6322.16,30.0,888.72,433.46,No,Cash,Failed,Cancelled
ORD102576,2025-10-31,CUST1670,T-Shirt,Fashion,Central,Nagpur,2,877.17,1754.34,10.0,765.32,72.3,No,Cash,Paid,Cancelled
ORD103882,2025-08-22,CUST1439,Smartwatch,Electronics,East,Kolkata,1,7318.45,7318.45,15.0,5070.35,404.66,No,UPI,Paid,Delivered
ORD103975,2025-07-05,CUST1305,Desk,Furniture,South,Chennai,4,11514.35,46057.4,5.0,8916.55,164.85,No,Debit Card,Paid,Cancelled
ORD102444,2025-07-28,CUST1342,Mixer,Home Appliances,South,Hyderabad,1,4249.34,4249.34,25.0,3544.9,489.01,No,Net Banking,Paid,Delivered
ORD100323,2025-05-18,CUST1339,Coffee Maker,Home Appliances,West,,5,4893.86,24469.3,10.0,2700.26,471.67,No,Cash,Pending,Delivered
ORD101619,2025-12-25,CUST1318,Desk,Furniture,West,Ahmedabad,2,12134.32,24268.64,30.0,10042.42,118.35,No,,Failed,Delivered
ORD100325,2025-10-15,CUST1189,Headphones,Electronics,Central,Bhopal,2,3493.86,6987.72,25.0,2849.09,368.95,No,Debit Card,Paid,Delivered
ORD105013,2026-06-18,CUST1687,Shoes,Fashion,North,Lucknow,2,2727.62,5455.24,15.0,2028.69,294.71,No,UPI,Paid,Delivered
ORD100724,2025-10-15,CUST1047,Laptop,Electronics,North,Jaipur,3,51327.54,153982.62,20.0,39964.87,440.65,No,Debit Card,Paid,Delivered
ORD104093,2025-01-11,CUST1130,T-Shirt,Fashion,South,Hyderabad,1,917.32,917.32,0.0,636.31,66.29,No,Debit Card,Paid,Delivered
ORD100322,2026-05-16,CUST1598,Headphones,Electronics,West,Pune,1,3353.45,3353.45,10.0,2293.71,46.3,Yes,Credit Card,Paid,Returned
ORD102762,2025-06-07,CUST1110,Backpack,Accessories,East,Patna,3,1899.78,5699.34,0.0,1212.24,162.86,No,Net Banking,Paid,Delivered
ORD100174,2026-02-18,CUST1725,Bookshelf,Furniture,South,Hyderabad,4,5710.27,22841.08,10.0,4177.24,218.78,Yes,UPI,Failed,Returned
ORD101906,2025-08-16,CUST1473,Mixer,Home Appliances,Central,Nagpur,1,3723.02,3723.02,20.0,2523.08,,No,Net Banking,Failed,Delivered
ORD101429,2025-04-21,CUST1381,Smartphone, Electronics ,Central,Nagpur,1,25598.58,25598.58,30.0,14466.4,133.51,No,UPI,Paid,Delivered
ORD103226,2025-12-04,CUST1138,Coffee Maker,Home Appliances,South,Chennai,1,5005.43,5005.43,10.0,3173.91,270.81,Yes,Debit Card,Paid,Returned
ORD100410,2025-02-04,CUST1518,Jacket,Fashion,South,Hyderabad,4,4669.2,18676.8,10.0,2819.78,124.85,No,Net Banking,Failed,Delivered
ORD101193,2026-07-14,CUST1399,Smartwatch,Electronics,South,Hyderabad,2,7464.53,14929.06,25.0,6280.99,116.84,No,Net Banking,Paid,Delivered
ORD100541,2025-04-19,CUST1372,Coffee Maker,Home Appliances,West,Mumbai,1,5623.06,5623.06,5.0,4045.09,89.32,No,Net Banking,Pending,Cancelled
ORD105220,2026-07-15,CUST1102,Mixer,Home Appliances,South,Chennai,1,3693.91,3693.91,30.0,2382.89,401.88,No,Debit Card,Paid,Delivered
ORD100167,2026-03-12,CUST1422,Coffee Maker,Home Appliances,Central,Bhopal,1,4884.88,4884.88,5.0,unknown,379.18,No,Net Banking,Paid,Delivered
ORD105700,2026-04-23,CUST1023,Backpack,Accessories,West,Mumbai,4,1755.85,7023.4,25.0,1068.89,unknown,No,Credit Card,Paid,Delivered
ORD103062,2025-05-14,CUST1163,Blender,Home Appliances,South,Chennai,2,2762.85,5525.7,15.0,1835.6,316.47,No,Net Banking,Paid,Cancelled
ORD102825,2025-01-30,CUST1107,Laptop,Electronics,South,Chennai,2,62181.94,124363.88,20.0,47789.74,224.91,No,Debit Card,Paid,Delivered
ORD104624,2026-07-21,CUST1147,Microwave,Home Appliances,South,Hyderabad,1,9944.49,9944.49,10.0,6162.93,213.89,No,Cash,Paid,Delivered
ORD104184,2025-10-22,CUST1693,Microwave,Home Appliances,East,Patna,3,10318.39,30955.17,25.0,7082.6,186.67,Yes,Credit Card,Paid,Returned
ORD101508,2026-06-07,CUST1660,T-Shirt,Fashion,South,Hyderabad,1,1006.77,1006.77,30.0,606.1,378.7,Yes,Cash,Paid,Returned
ORD102802,2026-07-23,,Smartphone,Electronics,East,Kolkata,3,26550.46,79651.38,25.0,23344.64,107.6,No,UPI,Failed,Delivered
ORD103871,2025-01-28,CUST1663,Headphones,Electronics,North,Lucknow,1,3474.08,3474.08,30.0,2891.23,94.93,Yes,Cash,Paid,Returned
ORD102484,2025-11-09,CUST1432,Jacket,Fashion,Central,Bhopal,1,4354.35,4354.35,20.0,2948.8,309.82,No,,Pending,Delivered
ORD105839,2026-01-20,CUST1653,T-Shirt,Fashion,East,Patna,3,874.48,2623.44,15.0,637.14,87.51,No,UPI,Failed,Delivered
ORD100115,2025-05-10,CUST1687,Smartwatch,Electronics,North,Jaipur,1,6897.91,6897.91,30.0,4993.52,419.92,No,Cash,Paid,Cancelled
ORD105809,2025-11-09,CUST1112,Backpack,Accessories,Central,Indore,1,2061.48,2061.48,10.0,1737.6,328.57,No,Cash,Pending,Delivered
ORD104125,2025-12-05,CUST1214,Bookshelf,Furniture,West,Mumbai,1,5849.72,5849.72,25.0,3376.76,402.37,No,UPI,Paid,Delivered
ORD104485,2026-01-13,CUST1358,Headphones,Electronics,North,Lucknow,5,3198.75,15993.75,10.0,1857.4,438.41,Yes,UPI,Paid,Returned
ORD104844,2025-12-07,CUST1461,Coffee Maker,Home Appliances,East,Bhubaneswar,2,5023.94,10047.88,0.0,3666.96,422.53,No,Net Banking,Paid,Cancelled
ORD101186,2025-05-22,CUST1790,Bookshelf,Furniture,East,Patna,5,6647.71,33238.55,15.0,4508.35,417.51,No,Debit Card,Paid,Delivered
ORD105348,02/01/2025,CUST1710,Tablet,Electronics,South,Bengaluru,1,20236.59,20236.59,10.0,17735.67,177.36,No,Debit Card,Paid,Delivered
ORD104089,2026-06-12,CUST1703,Mixer,Home Appliances,East,Kolkata,2,4443.09,8886.18,10.0,2941.34,191.63,No,Net Banking,Paid,Delivered
ORD103738,19/09/2025,CUST1564,Smartwatch,Electronics,South,Bengaluru,5,7906.61,39533.05,15.0,6856.92,232.18,No,Debit Card,Failed,Delivered
ORD104560,2025-09-24,CUST1490,Office Chair,Furniture,Central,Indore,3,10038.63,30115.89,15.0,6963.52,435.75,No,Debit Card,Paid,Delivered
ORD102319,2025-02-28,CUST1110,Microwave,Home Appliances,West,Ahmedabad,1,10906.17,10906.17,15.0,8255.79,334.29,No,Credit Card,Paid,Delivered
ORD102557,2026-03-27,CUST1427,T-Shirt,Fashion,North,Jaipur,3,807.91,2423.73,20.0,550.92,266.12,No,Credit Card,Failed,Cancelled
ORD100383,2025-10-25,CUST1737,Laptop,Electronics,South,Bengaluru,2,46772.21,93544.42,15.0,29983.54,393.55,No,UPI,Paid,Cancelled
ORD103673,2025-03-30,CUST1293,Laptop,Electronics,South,Chennai,1,58438.43,58438.43,30.0,44030.17,44.02,No,Credit Card,Paid,Delivered
ORD102151,2026-07-20,CUST1079,Smartwatch,Electronics,South,Hyderabad,1,6156.48,6156.48,10.0,4387.22,149.38,Yes,Debit Card,Paid,Returned
ORD101928,2026-07-26,CUST1597,Desk,Furniture,South,Chennai,2,13288.55,26577.1,15.0,8332.62,86.24,Yes,Cash,Paid,Returned
ORD103850,2026-03-04,CUST1587,Shoes,Fashion,South,Bengaluru,5,3572.75,17863.75,5.0,2662.35,452.29,No,Credit Card,Paid,Delivered
ORD100744,2025-06-15,CUST1026,Laptop,Electronics,South,Hyderabad,4,55719.33,222877.32,5.0,38657.64,143.17,No,,Paid,Delivered
ORD105830,2026-07-10,CUST1333,Coffee Maker,Home Appliances,West,Mumbai,1,6041.65,6041.65,10.0,3432.86,476.82,No,Net Banking,Paid,Delivered
ORD100265,2025-03-15,CUST1548,Desk,Furniture,North,Delhi,1,13656.6,13656.6,5.0,10988.6,269.49,Yes,Cash,Pending,Returned
ORD105613,2025-12-30,CUST1081,Bookshelf,Furniture,Central,Bhopal,4,6258.78,25035.12,30.0,4908.44,375.26,No,Net Banking,Paid,Delivered
ORD100100,2025-12-06,CUST1389,Microwave,Home Appliances,Central,Nagpur,2,11420.77,22841.54,15.0,9990.29,393.41,No,UPI,Paid,Delivered
ORD102425,2025-04-27,CUST1472,Smartwatch,Electronics,East,Patna,5,7971.15,39855.75,10.0,4779.63,323.92,No,UPI,Paid,Delivered
ORD104634,2025-07-24,CUST1693,Jacket,Fashion,North,Lucknow,1,4184.01,4184.01,0.0,3268.54,394.83,No,Cash,Paid,Delivered
ORD103742,2025-09-01,CUST1094,Backpack,Accessories,North,Delhi,2,1921.3,3842.6,30.0,1284.34,253.1,No,Net Banking,Paid,Delivered
ORD103913,2025-07-25,CUST1709,Blender,Home Appliances,Central,Indore,1,3013.05,3013.05,15.0,1960.87,314.53,No,Debit Card,paid,Delivered
ORD100311,2025-11-29,CUST1557,Coffee Maker,Home Appliances,West,Pune,4,5568.91,22275.64,15.0,4621.17,290.97,No,Cash,Failed,Delivered
ORD104049,2025-02-14,CUST1550,Smartphone,Electronics,West,Pune,1,26095.88,26095.88,25.0,16423.92,113.13,No,UPI,Paid,Delivered
ORD105439,2025-09-18,CUST1648,Tablet,Electronics,North,Jaipur,1,21337.96,21337.96,20.0,12449.32,350.06,No,Net Banking,Paid,Delivered
ORD105221,2026-06-19,CUST1327,Tablet,Electronics,North,Jaipur,2,21267.24,42534.48,0.0,15547.3,411.03,No,Cash, PAID ,Delivered
ORD100241,2025-10-17,CUST1295,Shoes,Fashion,West,Ahmedabad,5,3179.13,15895.65,5.0,1825.0,225.32,No,Debit Card,Failed,Cancelled
ORD103451,2025-08-18,CUST1664,Desk,Furniture,North,Jaipur,3,11090.55,33271.65,25.0,6586.25,73.19,No,Cash,Paid,Delivered
ORD103922,2026-06-21,CUST1594,Smartwatch,Electronics,East,Patna,3,7744.53,23233.59,0.0,5520.85,343.86,No,Credit Card,Paid,Delivered
ORD105041,2026-06-27,CUST1101,Blender,Home Appliances,South,Hyderabad,1,2808.61,2808.61,0.0,1724.19,374.7,No,UPI,Paid,Delivered
ORD103309,2025-12-05,CUST1478,Desk,Furniture,West,Pune,-1,10956.98,54784.9,5.0,9582.47,419.45,Yes,Cash,Paid,Returned
ORD100894,2025-10-21,CUST1519,Desk,Furniture,Central,Bhopal,5,12059.99,60299.95,5.0,10415.93,490.99,No,Credit Card,Paid,Delivered
ORD105558,2025-05-09,CUST1082,Shoes,Fashion,East,Kolkata,1,3484.08,3484.08,0.0,2007.34,158.73,No,Cash,Pending,Cancelled
ORD102542,2025-10-18,CUST1542,Laptop,Electronics,East,Bhubaneswar,2,52366.24,104732.48,10.0,34886.85,390.67,No,Cash,Paid,Delivered
ORD100799,2025-10-27,CUST1018,Office Chair,Furniture,East,Kolkata,2,8332.19,16664.38,30.0,5431.92,321.22,No,Debit Card,Failed,Delivered
ORD100521,2025-02-21,CUST1289,Microwave,Home Appliances,South,Chennai,5,11883.62,59418.1,0.0,8256.19,57.83,No,Credit Card,Failed,Delivered
ORD101355,19/04/2025,CUST1291,Laptop,Electronics,North,Delhi,1,51767.16,51767.16,10.0,42289.19,302.55,Yes,Cash,Pending,Returned
ORD105885,2025-01-04,CUST1388,T-Shirt,Fashion,South,Chennai,1,958.23,N/A,25.0,621.22,80.17,No,Credit Card,Paid,Delivered
ORD103952,2026-04-21,CUST1306,Blender,Home Appliances,Central,Nagpur,1,2871.96,2871.96,0.0,2431.87,397.05,No,UPI,Paid,Delivered
ORD101704,2025-09-10,CUST1404,Bookshelf,Furniture,Central,Nagpur,1,5526.67,5526.67,30.0,3706.13,,No,Credit Card,Paid,Delivered
ORD104640,2025-12-15,CUST1287,Mixer,Home Appliances,South,Hyderabad,5,4029.51,20147.55,25.0,3283.75,53.72,No,Net Banking,Failed,Delivered
ORD105295,2026-04-29,CUST1710,Desk,Furniture,East,Patna,5,12969.44,64847.2,25.0,10747.76,41.83,Yes,Credit Card,Pending,Returned
ORD102626,08/07/2025,CUST1091,Desk,Furniture,Central,Bhopal,1,12985.68,12985.68,0.0,8983.0,160.53,No,Net Banking,Pending,Cancelled
ORD104133,2026-06-22,CUST1246,Office Chair,Furniture,Central,Nagpur,3,8332.7,24998.1,5.0,5625.63,336.6,No,Debit Card,Paid,Cancelled
ORD100110,2025-10-22,CUST1224,Coffee Maker,Home Appliances,East,Kolkata,2,5901.79,11803.58,30.0,3248.17,295.84,No,Debit Card,Paid,Cancelled
ORD103153,2025-02-21,CUST1067,Smartwatch,Electronics,North,Delhi,5,6237.35,31186.75,5.0,4789.71,141.71,Yes,Credit Card,Paid,Returned
ORD101499,2025-06-15,CUST1694,T-Shirt,Fashion,East,Kolkata,5,855.97,4279.85,10.0,510.92,159.32,No,Net Banking,Failed,Delivered
ORD100982,2026-04-18,CUST1632,Desk,Furniture,Central,Bhopal,5,13551.81,67759.05,10.0,11268.12,487.51,No,UPI,Paid,Delivered
ORD100157,2026-02-10,CUST1143,Backpack,Accessories,North,Jaipur,1,1975.65,1975.65,25.0,1378.17,316.27,No,Cash,Failed,Delivered
ORD104230,2026-02-22,CUST1219,Tablet,Electronics,South,Bengaluru,4,22388.69,89554.76,0.0,18597.97,64.46,Yes,Credit Card,Paid,Returned
ORD100670,2025-07-29,CUST1431,Jacket,Fashion,West,Pune,1,5071.35,5071.35,15.0,3546.21,59.86,No,UPI,Pending,Delivered
ORD105101,2025-11-20,CUST1210,Tablet,Electronics,North,Lucknow,2,23446.49,46892.98,0.0,unknown,458.75,Yes,UPI,Pending,Returned
ORD104353,2026-06-16,CUST1369,Bookshelf,Furniture,East,Kolkata,1,5529.71,5529.71,10.0,3478.13,221.07,No,Net Banking,Pending,Cancelled
ORD101487,2026-02-22,CUST1486,Laptop,Electronics,North,Jaipur,3,58481.87,175445.61,25.0,50216.22,69.84,No,Net Banking,Pending,Delivered
